Identifier	StudyName	Species	CancerType	TissueType	UberonOntologyID	malingnant.vs.non-malignant	immune.vs.non-immune	CellType	CellName	CellType2	GeneSymbol	GeneCount	PMID	Year	ResourceType	DB source
Zhang.2019.HCC.TAM:Cancer cell:MDSC_like_macrophage	Zhang.2019.HCC.TAM	Human	Hepatocellular Carcinoma (HCC)	Liver	UBERON_0002107	Cancer cell	Immune	Macrophage subtype	MDSC_like_macrophage	Myeloid-derived suppressor cell (MDSC)-like macrophage	"CST3, LYZ, CD68, THBS1, S100A8, S100A9"	6	31675496	2019	Single-cell	scTyper sigDB
Zhang.2019.HCC.TAM:Cancer cell:TAM_like_macrophage	Zhang.2019.HCC.TAM	Human	Hepatocellular Carcinoma (HCC)	Liver	UBERON_0002107	Cancer cell	Immune	Macrophage subtype	TAM_like_macrophage	TAM like macrophage	"CST3, LYZ, CD68, CD163, CD169, C1QA, SLC40A1, GPNMB"	8	31675496	2019	Single-cell	scTyper sigDB
Zhang.2019.HCC:Cancer cell:Classical_monocyte	Zhang.2019.HCC	Human	Hepatocellular Carcinoma (HCC)	Liver	UBERON_0002107	Cancer cell	Immune	Monocyte subtype	Classical_monocyte	Classical monocyte	"CST3, LYZ, CD14, VCAN, S100A9, RNASE2, S100A12"	7	31675496	2019	Single-cell	scTyper sigDB
Zhang.2019.HCC:Cancer cell:Non_classical_monocyte	Zhang.2019.HCC	Human	Hepatocellular Carcinoma (HCC)	Liver	UBERON_0002107	Cancer cell	Immune	Monocyte subtype	Non_classical_monocyte	Non-classical monocyte	"CST3, LYZ, FCGR3A, FCER1G, LST1, AIF1, IFITM3"	7	31675496	2019	Single-cell	scTyper sigDB
Zhang.2019.HCC.TIL:Cancer cell:Circulating_natural_killer_cell	Zhang.2019.HCC.TIL	Human	Hepatocellular Carcinoma (HCC)	Liver	UBERON_0002107	Cancer cell	Immune	NK cell subtype	Circulating_natural_killer_cell	Circulating natural killer cell in tumor	"NKG7, FCGR3A, IFNG, GNLY, GZMB, CD69, HSPA1A"	7	31675496	2019	Single-cell	scTyper sigDB
Zhang.2019.HCC.TIL:Cancer cell:Proliferative_natural_killer_cell	Zhang.2019.HCC.TIL	Human	Hepatocellular Carcinoma (HCC)	Liver	UBERON_0002107	Cancer cell	Immune	NK cell subtype	Proliferative_natural_killer_cell	Proliferative natural killer cell	"NKG7, MKI67, TUBB, STMN"	4	31675496	2019	Single-cell	scTyper sigDB
Zhang.2019.HCC.TIL:Cancer cell:Tissue_resident_natural_killer_cell	Zhang.2019.HCC.TIL	Human	Hepatocellular Carcinoma (HCC)	Liver	UBERON_0002107	Cancer cell	Immune	NK cell subtype	Tissue_resident_natural_killer_cell	Tissue-resident natural killer cells in tumor	"NKG7, CD160, HSPA1A, DNAJB1, HSPA1B, HSPA6"	6	31675496	2019	Single-cell	scTyper sigDB
D'Avola.2018.HCC:Normal cell:T_cell	D'Avola.2018.HCC	Human	Hepatocellular Carcinoma (HCC)	Blood	UBERON_0000178	Normal cell	Immune	T cell	T_cell	T cell	"HNRNPA1, RPLP0, RPL3, RPL5, NPM1, RPL10A, EIF3E, RPSA, HSP90AB1, KIAA0125, EEF2, ZFAS1, SPINK2, LDHB, STMN1, ANP32B, SNHG7, SNHG8, C6orf48, SOX4, IMPDH2, RP11-620J15.3, EBPL, CYTL1, HMGA1, PRSS57, CDK6, ANKRD28, EGFL7, HOPX"	30	30068984	2018	Single-cell	scTyper sigDB
D'Avola.2018.HCC:Normal cell:B_cell	D'Avola.2018.HCC	Human	Hepatocellular Carcinoma (HCC)	Blood	UBERON_0000178	Normal cell	Immune	B cell	B_cell	B cell	"HLA-DRA, CD74, HLA-DPB1, CD79A, HLA-DPA1, HLA-DQA1, HLA-DRB1, MS4A1, CD37, CD52, HLA-DQB1, RPS25, CD79B, RPS5, LTB, PTPRCAP, RPL3, RPL10A, RPSA, RPL18, RPS21, RPL14, BANK1, RPL5, RPS7, BTG1, NPM1, HLA-DRB5, EEF1B2, HLA-DMA"	30	30068984	2018	Single-cell	scTyper sigDB
D'Avola.2018.HCC:Normal cell:Red_blood_cell	D'Avola.2018.HCC	Human	Hepatocellular Carcinoma (HCC)	Blood	UBERON_0000178	Normal cell	Immune	Red blood cell (erythrocyte)	Red_blood_cell	Red blood cell (erythrocyte)	"HBA1, HBB, HBD, HBA2, AHSP, SNCA, SLC25A37, UBB, HBM, ALAS2, CA1, IFI27, BPGM, GYPC, BNIP3L, SLC25A39, DCAF12, DAZAP2, MKRN1, TCEB2, CDC42, HEMGN, FAM46C, NFKBIZ, GMPR, C19orf43, FAM210B, CTSD, SELENBP1, OST4, MT-CO2, MT-ATP6, PABPC1, MT-CYB, OAZ1, EIF1, BTF3, FBXO7, SUB1, ITM2B, LSP1, SUMO2, UQCR11.1, EIF4A1"	44	30068984	2018	Single-cell	scTyper sigDB
D'Avola.2018.HCC:Normal cell:Monocyte	D'Avola.2018.HCC	Human	Hepatocellular Carcinoma (HCC)	Blood	UBERON_0000178	Normal cell	Immune	Monocyte	Monocyte	Monocyte	"S100A9, LYZ, RP11-1143G9.4, S100A8, VCAN, FOS, S100A12, MNDA, EGR1, CD14, CSTA, DUSP1, NEAT1, TYMP, GAPDH, TSPO, CCL5, CTSS, FCN1, MCL1, S100A6, MYL12A, IER2, NAMPT, MS4A6A, TYROBP, AIF1, S100A4, S100A11, CST3, LGALS1, LST1, SERPINA1, CFD, FGL2, PLBD1, FOLR3"	37	30068984	2018	Single-cell	scTyper sigDB
D'Avola.2018.HCC:Normal cell:Natural_killer_cell	D'Avola.2018.HCC	Human	Hepatocellular Carcinoma (HCC)	Blood	UBERON_0000178	Normal cell	Immune	Natural killer cell	Natural_killer_cell	Natural killer cell	"NKG7, CCL5, GNLY, IL32, CD3D, CST7, GZMH, PTPRCAP, GZMA, CD52, CD2, FGFBP2, GZMB, KLRD1, RARRES3, CCL4, CD3E, PRF1, AC092580.4, C12orf75, CD3G, CD8A, CTSW, LCK, HOPX, GZMM, CD8B, LYAR, EVL, KLRG1, CMC1, KLRF1, CD7, FCGR3A, SPON2, CLIC3, CD247, ID2, KLRB1, IFITM1, MYOM2, IL2RG"	42	30068984	2018	Single-cell	scTyper sigDB
D'Avola.2018.HCC:Normal cell:Plasmacytoid_dendritic_cell	D'Avola.2018.HCC	Human	Hepatocellular Carcinoma (HCC)	Blood	UBERON_0000178	Normal cell	Immune	Dendritic cell subtype	Plasmacytoid_dendritic_cell	Plasmacytoid dendritic cell	"IGJ, IRF8, GZMB, SEC61B, C12orf75, CCDC50, TCF4, LILRA4, ITM2C, IRF7, TCL1A, ALOX5AP, UGCG, PLD4, BCL11A, PPP1R14B, MZB1, TXN, SERPINF1, CLIC3, TSPAN13, LTB, VIMP, SPIB, SMPD3, LRRC26, OFD1, PTPRS, SOX4, SCT, HERPUD1, STMN1, RNASE6, CYB561A3, TPM2, IL3RA, APP, LINC00996"	38	30068984	2018	Single-cell	scTyper sigDB
D'Avola.2018.HCC:Cancer cell:Circulating_tumor_cell	D'Avola.2018.HCC	Human	Hepatocellular Carcinoma (HCC)	Blood	UBERON_0000178	Cancer cell	non-Immune	Circulating tumor cell 	Circulating_tumor_cell	Circulating tumor cell 	"APOA2, APOC1, ALB, HULC, HP, ORM1, CYB5A, FABP1, HPD, PEBP1, GSTA1, FGB, TTR, APOH, APOA1, SEPP1, MALAT1, TXN, CYP2E1, ARG1, RBP4, SPINK1, C1S, SERPINA1, HSPE1, APOC3, RHOD, ANG, PLA2G2A, KNG1, CDO1, PRAP1, FGL1, SAA4, ALDOB, AMBP, PTGR1, TMSB4X, GAMT, HINT1, CP, CHCHD10, KRT18, ETFB, ORM2, CFHR2, VTN, HLA-B, FGG, UQCC2, APOE, DDT, TUBB, SULT2A1, ECHS1, CFHR1, AKR1C3, C18orf56, MT-CO3, MT-CO1, HMGN2, HRSP12, MT2A, KPNA2, SOD1, HSP90AB1, WDR83OS, HSPB1, PSMC1, GATM, SDC2, IFI27, KRT8, TPM1, NDUFA4, FXN, RAN, MT-CO2, MGST1, HPR, PCBD1, BOLA3, NUPR1, POLR2H, TMEM14A, RBP1, PRDX1, C4BPA, PLEK2, TIMM13, MT-ND3, SUCLG1, C8G, GOLT1A, AOX1, UGT2B15, ADH1A, CTC-210G5.1, GSTA2, SMLR1"	100	30068984	2018	Single-cell	scTyper sigDB
